Season,Round,Track,Team,Points,Cost
2023,19,Mexico,AlphaTauri Honda RBPT,42,7.2
2023,19,Mexico,Williams Mercedes,20,7.3
2023,19,Mexico,Alpine Renault,21,12.7
2023,19,Mexico,Haas Ferrari,-7,7.4
2023,19,Mexico,Alfa Romeo Ferrari,14,6.7
2023,19,Mexico,Aston Martin Aramco Mercedes,-7,12.0
2023,20,Brazil,Red Bull Racing Honda RBPT,105,29.4
2023,20,Brazil,McLaren Mercedes,65,16.7
2023,20,Brazil,Aston Martin Aramco Mercedes,77,11.9
2023,20,Brazil,Ferrari,28,24.6
2023,20,Brazil,Alpine Renault,44,13.2
2023,20,Brazil,Mercedes,24,26.0
2023,20,Brazil,AlphaTauri Honda RBPT,31,7.7
2023,20,Brazil,Williams Mercedes,2,7.8
2023,20,Brazil,Haas Ferrari,-19,7.3
2023,20,Brazil,Alfa Romeo Ferrari,-31,6.7
2023,21,Las Vegas,Red Bull Racing Honda RBPT,84,29.6
2023,21,Las Vegas,Ferrari,78,24.7
2023,21,Las Vegas,Alpine Renault,46,13.7
2023,21,Las Vegas,Aston Martin Aramco Mercedes,56,12.9
2023,21,Las Vegas,Mercedes,45,26.0
2023,21,Las Vegas,McLaren Mercedes,34,17.0
2023,21,Las Vegas,Williams Mercedes,7,7.8
2023,21,Las Vegas,Haas Ferrari,12,7.2
2023,21,Las Vegas,AlphaTauri Honda RBPT,26,8.2
2023,21,Las Vegas,Alfa Romeo Ferrari,12,6.6
2023,22,Abu Dhabi,Red Bull Racing Honda RBPT,87,29.7
2023,22,Abu Dhabi,Ferrari,48,25.0
2023,22,Abu Dhabi,Mercedes,51,26.0
2023,22,Abu Dhabi,McLaren Mercedes,59,17.1
2023,22,Abu Dhabi,Aston Martin Aramco Mercedes,32,13.4
2023,22,Abu Dhabi,AlphaTauri Honda RBPT,27,8.7
2023,22,Abu Dhabi,Alpine Renault,11,14.2
2023,22,Abu Dhabi,Williams Mercedes,12,7.8
2023,22,Abu Dhabi,Haas Ferrari,2,7.2
2023,22,Abu Dhabi,Alfa Romeo Ferrari,13,6.6
